state_name,indian_population,median_income,median_rent,state_code
Alabama,122056,59609,925,01
Alaska,67589,86370,1345,02
Arizona,293067,72581,1308,04
Arkansas,97271,56335,868,05
California,1820113,91905,1856,06
Colorado,234916,87598,1594,08
Connecticut,125845,90213,1374,09
Delaware,35309,79325,1286,10
District of Columbia,26739,101722,1817,11
Florida,653775,67917,1444,12
Georgia,323839,71355,1221,13
Hawaii,347057,94814,1868,15
Idaho,59314,70214,1061,16
Illinois,346101,78433,1179,17
Indiana,192571,67173,967,18
Iowa,84667,70571,914,19
Kansas,119072,69747,986,20
Kentucky,121501,60183,902,21
Louisiana,126945,57852,996,22
Maine,32458,68251,1009,23
Maryland,235210,98461,1598,24
Massachusetts,234535,96505,1588,25
Michigan,333548,68505,1037,26
Minnesota,200115,84313,1178,27
Mississippi,57391,52985,896,28
Missouri,196827,65920,957,29
Montana,37779,66341,974,30
Nebraska,60453,71722,987,31
Nevada,161396,71646,1382,32
New Hampshire,33350,90845,1336,33
New Jersey,256440,97126,1577,34
New Mexico,70232,58722,966,35
New York,601508,81386,1507,36
North Carolina,334169,66186,1093,37
North Dakota,23849,73959,912,38
Ohio,391358,66990,945,39
Oklahoma,328770,61364,934,40
Oregon,221111,76632,1373,41
Pennsylvania,364219,73170,1110,42
Rhode Island,35469,81370,1195,44
South Carolina,142365,63623,1065,45
South Dakota,30540,69457,878,46
Tennessee,186334,64035,1047,47
Texas,860173,73035,1251,48
Utah,110624,86833,1302,49
Vermont,16770,74014,1149,50
Virginia,344037,87249,1440,51
Washington,466498,90325,1592,53
West Virginia,44254,55217,831,54
Wisconsin,164592,72458,992,55
Wyoming,16978,72495,933,56
Puerto Rico,161892,24002,545,72
