search_term,playlist_id,playlist_name,description,followers,total_tracks,owner,external_url
Bollywood hits,6Z3BmVoSFRvMeMkv9XclTb,Top Bollywood Hits 2025,"bollywood hindi hit songs, top hindi songs, best hindi playlist, top hindi bollywood songs, top hindi hits 2025, best bollwood hindi hits 2025, arijit singh, new hindi songs, new bollywood music, latest hindi, new latest songs, best playlist",0,47,zusic,https://open.spotify.com/playlist/6Z3BmVoSFRvMeMkv9XclTb
Bollywood hits,3ba6w8ldKCmJN8IxI8ClXm,Bollywood Party 2025 🔥,Top Bollywood Hits of the Year | ig: _ashvipatel,0,382,Ashvi,https://open.spotify.com/playlist/3ba6w8ldKCmJN8IxI8ClXm
Bollywood hits,7sTkp2X5Aq84v9w9UtfkaF,All time Best BOLLYWOOD songs,mostlyafter2000 managed   - quickmedia.co (IG),0,1133,Ankur Pansare,https://open.spotify.com/playlist/7sTkp2X5Aq84v9w9UtfkaF
Bollywood hits,4nqbYFYZOCospBb4miwHWy,Trending Hindi Songs 2025 - Best Hindi Viral Hits Songs & Bollywood New Release,"Instagram Trending Hindi Songs, New Hindi Songs, Best Hindi Songs, Bollywood Songs, New Release Updated 2024, Bollywood Hits Songs, Love Songs, Viral Hindi Songs, Today&#x27;s Top Hits, New Trending Songs, Trending Hindi Songs 2024, Trending Songs, Best Hindi Songs",0,96,Feel Magical Vibes,https://open.spotify.com/playlist/4nqbYFYZOCospBb4miwHWy
Bollywood hits,2Kj5NUtVetggUDHPIGC9U7,Nostalgic Bollywood Songs (2000 -2010),Bollywood Hindi Punjabi Nostalgia Songs | Hit Bollywood Hindi Punjabi Songs Each Year (2000- 2010),0,68,Music Styles,https://open.spotify.com/playlist/2Kj5NUtVetggUDHPIGC9U7
Bollywood hits,4sWESBk2LnY8LyAxl12JEL,Classic Bollywood bangers,,0,151,Uzair javid,https://open.spotify.com/playlist/4sWESBk2LnY8LyAxl12JEL
Bollywood hits,0S7boBN3rPfo2F1DXX5U7k,All time bollywood party hits,,0,88,Sarmishtha Jain,https://open.spotify.com/playlist/0S7boBN3rPfo2F1DXX5U7k
Bollywood hits,2QnLDxeZMzIoCno54I9vKj,Bollywood Party Hits 2000-2022,Bollywood Party Hits 2000-2022,0,100,Soundd Asia,https://open.spotify.com/playlist/2QnLDxeZMzIoCno54I9vKj
Bollywood hits,4wJLkwU84uscxJ7SOlmUX1,Hot Hindi Hits 2010-2020,The best Bollywood hit songs of the decade 2010 - 2020,0,83,Sanketh B,https://open.spotify.com/playlist/4wJLkwU84uscxJ7SOlmUX1
Bollywood hits,0gpeaqsVaCIfwOqlBtLiXf,Arijit Singh super hit songs,,0,43,Manisha Bhoir,https://open.spotify.com/playlist/0gpeaqsVaCIfwOqlBtLiXf
